"Interval Start","Interval End","Interval Complete","Filters","Media Type","Queue Id","Queue Name","Offer","Answer","Answer %","Abandon","Abandon %","ASA","Service Level %","Service Level Target %","Avg Wait","Avg Handle","Avg Talk","Avg Hold","Avg ACW","Hold","Transfer","Short Abandon"
"3/17/26 12:00 AM","3/17/26 12:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 12:30 AM","3/17/26 01:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","2066","1","","2066","25993","19739","","6254","","",""
"3/17/26 01:00 AM","3/17/26 01:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1741.5","1","","1741.5","14166","11914","","2252","","",""
"3/17/26 01:30 AM","3/17/26 02:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 02:00 AM","3/17/26 02:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","","","","","","","","","","","","","","","",""
"3/17/26 02:30 AM","3/17/26 03:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1897.5","1","","1897.5","24958.5","20063","","4895.5","","",""
"3/17/26 03:00 AM","3/17/26 03:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","1818","1","","1818","73628","72452","","1176","","",""
"3/17/26 03:30 AM","3/17/26 04:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","1","1","1","","","2155","1","","2155","12388","10238","","2150","","",""
"3/17/26 04:00 AM","3/17/26 04:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","2","2","1","","","1954","1","","1954","58486.5","56895","","1591.5","","",""
"3/17/26 04:30 AM","3/17/26 05:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","6","6","1","","","1915.8333333333333","1","","1915.8333333333333","57795.4","54310.6","","3484.8","","",""
"3/17/26 05:00 AM","3/17/26 05:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","5","5","1","","","2012.2","1","","2012.2","70451","68859","","1592","","",""
"3/17/26 05:30 AM","3/17/26 06:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","9","9","1","","","1908.3333333333333","1","","1908.3333333333333","99307.66666666667","97513.66666666667","","1794","","",""
"3/17/26 06:00 AM","3/17/26 06:30 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","10","10","1","","","1887.1","1","","1887.1","51460","48313.818181818184","","3146.181818181818","","",""
"3/17/26 06:30 AM","3/17/26 07:00 AM","TRUE","","voice","b14113c6-caf4-491c-815e-1b89bb25c6b2; 61249553-e73c-4731-a085-f44dc6817d69; e3b9ecff-3ca6-482b-8544-735d4cb45ac6; 8760e958-efca-476c-8039-727fa406e4c0","Vodafone DA; 1223; Vodafone 123; 124YES","21","21","1","","","1902.6666666666667","1","","1902.6666666666667","65894.66666666667","60176.73684210526","","2748.9444444444443","","2",""
